parcel_num,parcel_nam,waterbody,src,longitude,latitude,sh_id,sh_name,class_no,uid,rainfall,days,rain_in,season
L-828,DOG ISLAND, ,AUZ,-83.007708393800002,29.142499282100001,30,Cedar Key,3012,7a9bcc0,3 days > 6.67"" Cedar Key Forestry,3,6.67,1/1-12/31
L-829,DOG ISLAND, ,AUZ,-83.007536111999997,29.141892983399998,30,Cedar Key,3012,7a9bcc0,3 days > 6.67"" Cedar Key Forestry,3,6.67,1/1-12/31
L-830,DOG ISLAND, ,AUZ,-83.007363824899997,29.141286687099999,30,Cedar Key,3012,7a9bcc0,3 days > 6.67"" Cedar Key Forestry,3,6.67,1/1-12/31
L-815,DOG ISLAND, ,AUZ,-83.010171209899994,29.145704144600000,30,Cedar Key,3012,7a9bcc0,3 days > 6.67"" Cedar Key Forestry,3,6.67,1/1-12/31
L-816,DOG ISLAND, ,AUZ,-83.009998897800003,29.145097847300001,30,Cedar Key,3012,7a9bcc0,3 days > 6.67"" Cedar Key Forestry,3,6.67,1/1-12/31
L-817,DOG ISLAND, ,AUZ,-83.009807452900006,29.144424198900001,30,Cedar Key,3012,7a9bcc0,3 days > 6.67"" Cedar Key Forestry,3,6.67,1/1-12/31
L-818,DOG ISLAND, ,AUZ,-83.009635157299996,29.143817898799998,30,Cedar Key,3012,7a9bcc0,3 days > 6.67"" Cedar Key Forestry,3,6.67,1/1-12/31
L-819,DOG ISLAND, ,AUZ,-83.009462852200002,29.143211609300000,30,Cedar Key,3012,7a9bcc0,3 days > 6.67"" Cedar Key Forestry,3,6.67,1/1-12/31
B-200,BODY A, ,AUZ,-80.802473370399994,28.686796845300002,80,Body A,8001,1c6c752,Emerg Cond/  6 days > 10"",6,10.0,1/1-12/31
CC-01,CAPE ROMANO, ,AUZ,-81.642636255499994,25.839993543399999,66,Ten Thousand Islands,6602,8850296,2 days > 3.5"" NOAA,2,3.5,1/1-12/31
CC-02,CAPE ROMANO, ,AUZ,-81.642060635000007,25.840540004099999,66,Ten Thousand Islands,6602,8850296,2 days > 3.5"" NOAA,2,3.5,1/1-12/31
CC-03,CAPE ROMANO, ,AUZ,-81.641485009999997,25.841086459400000,66,Ten Thousand Islands,6602,8850296,2 days > 3.5"" NOAA,2,3.5,1/1-12/31
CC-04,CAPE ROMANO, ,AUZ,-81.640909380300002,25.841632913900000,66,Ten Thousand Islands,6602,8850296,2 days > 3.5"" NOAA,2,3.5,1/1-12/31
CC-05,CAPE ROMANO, ,AUZ,-81.640333743900001,25.842179366700002,66,Ten Thousand Islands,6602,8850296,2 days > 3.5"" NOAA,2,3.5,1/1-12/31
CC-08,CAPE ROMANO, ,AUZ,-81.638606801600005,25.843818712800001,66,Ten Thousand Islands,6602,8850296,2 days > 3.5"" NOAA,2,3.5,1/1-12/31
CC-09,CAPE ROMANO, ,AUZ,-81.638031145599996,25.844365154199998,66,Ten Thousand Islands,6602,8850296,2 days > 3.5"" NOAA,2,3.5,1/1-12/31
CC-10,CAPE ROMANO, ,AUZ,-81.637455485800004,25.844911599200000,66,Ten Thousand Islands,6602,8850296,2 days > 3.5"" NOAA,2,3.5,1/1-12/31
CC-11,CAPE ROMANO, ,AUZ,-81.636879816399997,25.845458038899999,66,Ten Thousand Islands,6602,8850296,2 days > 3.5"" NOAA,2,3.5,1/1-12/31
CC-12,CAPE ROMANO, ,AUZ,-81.636304145400004,25.846004475099999,66,Ten Thousand Islands,6602,8850296,2 days > 3.5"" NOAA,2,3.5,1/1-12/31
CC-13,CAPE ROMANO, ,AUZ,-81.635728464799996,25.846550904899999,66,Ten Thousand Islands,6602,8850296,2 days > 3.5"" NOAA,2,3.5,1/1-12/31
CC-14,CAPE ROMANO, ,AUZ,-81.635152779400002,25.847097334899999,66,Ten Thousand Islands,6602,8850296,2 days > 3.5"" NOAA,2,3.5,1/1-12/31
CC-15,CAPE ROMANO, ,AUZ,-81.634577096300006,25.847643768600001,66,Ten Thousand Islands,6602,8850296,2 days > 3.5"" NOAA,2,3.5,1/1-12/31
CC-16,CAPE ROMANO, ,AUZ,-81.634001399599995,25.848190195099999,66,Ten Thousand Islands,6602,8850296,2 days > 3.5"" NOAA,2,3.5,1/1-12/31
L-549,DERRICKS, ,AUZ,-83.095633043099994,29.216923015999999,30,Cedar Key,3001,7bc63a8,Emerg Cond/  3 days > 10.5"" Cedar Key Forestry,3,10.5,1/1-12/31
l-525,DERRICKS, ,AUZ,-83.093775765000004,29.217182392800002,30,Cedar Key,3001,7bc63a8,Emerg Cond/  3 days > 10.5"" Cedar Key Forestry,3,10.5,1/1-12/31
L-501,DERRICKS, ,AUZ,-83.091918465700005,29.217441738900000,30,Cedar Key,3001,7bc63a8,Emerg Cond/  3 days > 10.5"" Cedar Key Forestry,3,10.5,1/1-12/31
L-550,DERRICKS, ,AUZ,-83.095534467600004,29.216379919900000,30,Cedar Key,3001,7bc63a8,Emerg Cond/  3 days > 10.5"" Cedar Key Forestry,3,10.5,1/1-12/31
L-551,DERRICKS, ,AUZ,-83.095435907699994,29.215836812199999,30,Cedar Key,3001,7bc63a8,Emerg Cond/  3 days > 10.5"" Cedar Key Forestry,3,10.5,1/1-12/31
L-552,DERRICKS, ,AUZ,-83.095337367200003,29.215293706499999,30,Cedar Key,3001,7bc63a8,Emerg Cond/  3 days > 10.5"" Cedar Key Forestry,3,10.5,1/1-12/31
L-553,DERRICKS, ,AUZ,-83.095238815399995,29.214750603399999,30,Cedar Key,3001,7bc63a8,Emerg Cond/  3 days > 10.5"" Cedar Key Forestry,3,10.5,1/1-12/31
L-554,DERRICKS, ,AUZ,-83.095140254300006,29.214207493000000,30,Cedar Key,3001,7bc63a8,Emerg Cond/  3 days > 10.5"" Cedar Key Forestry,3,10.5,1/1-12/31
L-555,DERRICKS, ,AUZ,-83.095041689900000,29.213664401599999,30,Cedar Key,3001,7bc63a8,Emerg Cond/  3 days > 10.5"" Cedar Key Forestry,3,10.5,1/1-12/31
L-556,DERRICKS, ,AUZ,-83.094943154500001,29.213121298600001,30,Cedar Key,3001,7bc63a8,Emerg Cond/  3 days > 10.5"" Cedar Key Forestry,3,10.5,1/1-12/31
