lease_id,parcel_num,lease_num,parcel_name,status,waterbody,lease_type,src_merge,cmu_name,rain_in,days,emerg_cond,latitude,longitude,Shape_Length,Shape_Area
L-505,L-505,,DERRICKS,Vacant,,Bottom lease,AUZ,30_1,10.5,3,YES,29.215269320000001,-83.091524320000005,,
L-506,L-506,,DERRICKS,Vacant,,Bottom lease,AUZ,30_1,10.5,3,YES,29.214726209999998,-83.091425779999994,,
L-507,L-507,,DERRICKS,Vacant,,Bottom lease,AUZ,30_1,10.5,3,YES,29.214183100000000,-83.091327250000006,,
L-508,L-508,,DERRICKS,Vacant,,Bottom lease,AUZ,30_1,10.5,3,YES,29.213639990000001,-83.091228720000004,,
L-509,L-509,,DERRICKS,Vacant,,Bottom lease,AUZ,30_1,10.5,3,YES,29.213096889999999,-83.091130179999993,,
L-510,L-510,,DERRICKS,Vacant,,Bottom lease,AUZ,30_1,10.5,3,YES,29.212553790000001,-83.091031659999999,,
L-511,L-511,,DERRICKS,Vacant,,Bottom lease,AUZ,30_1,10.5,3,YES,29.212010670000002,-83.090933129999996,,
L-513,L-513,,DERRICKS,Vacant,,Bottom lease,AUZ,30_1,10.5,3,YES,29.210924460000001,-83.090736079999999,,
L-514,L-514,,DERRICKS,Vacant,,Bottom lease,AUZ,30_1,10.5,3,YES,29.210381349999999,-83.090637540000003,,
L-515,L-515,,DERRICKS,Vacant,,Bottom lease,AUZ,30_1,10.5,3,YES,29.209838240000000,-83.090539019999994,,
L-516,L-516,,DERRICKS,Vacant,,Bottom lease,AUZ,30_1,10.5,3,YES,29.209295130000001,-83.090440490000006,,
L-517,L-517,,DERRICKS,Vacant,,Bottom lease,AUZ,30_1,10.5,3,YES,29.208752019999999,-83.090341969999997,,
L-518,L-518,,DERRICKS,Vacant,,Bottom lease,AUZ,30_1,10.5,3,YES,29.208208930000001,-83.090243439999995,,
L-519,L-519,,DERRICKS,Vacant,,Bottom lease,AUZ,30_1,10.5,3,YES,29.207665810000002,-83.090144929999994,,
L-520,L-520,,DERRICKS,Vacant,,Bottom lease,AUZ,30_1,10.5,3,YES,29.207122699999999,-83.090046409999999,,
L-521,L-521,,DERRICKS,Vacant,,Bottom lease,AUZ,30_1,10.5,3,YES,29.206579590000000,-83.089947899999999,,
L-522,L-522,,DERRICKS,Vacant,,Bottom lease,AUZ,30_1,10.5,3,YES,29.206036489999999,-83.089849369999996,,
L-523,L-523,,DERRICKS,Vacant,,Bottom lease,AUZ,30_1,10.5,3,YES,29.205493380000000,-83.089750870000003,,
L-524,L-524,,DERRICKS,Vacant,,Bottom lease,AUZ,30_1,10.5,3,YES,29.204950270000001,-83.089652349999994,,
L-512,L-512,,DERRICKS,Vacant,,Bottom lease,AUZ,30_1,10.5,3,YES,29.211467559999999,-83.090834599999994,,
L-825,L-825,,DOG ISLAND,Occupied,,Bottom lease,AUZ,30_10,6.67,3,NO,29.142605310000000,-83.009290559999997,,
L-826,L-826,,DOG ISLAND,Occupied,,Bottom lease,AUZ,30_10,6.67,3,NO,29.141999009999999,-83.009118259999994,,
L-820,L-820,,DOG ISLAND,Occupied,,Bottom lease,AUZ,30_10,6.67,3,NO,29.145229860000001,-83.011507789999996,,
L-821,L-821,,DOG ISLAND,Occupied,,Bottom lease,AUZ,30_10,6.67,3,NO,29.144623570000000,-83.011335470000006,,
L-822,L-822,,DOG ISLAND,Occupied,,Bottom lease,AUZ,30_10,6.67,3,NO,29.143949920000001,-83.011144020000003,,
L-823,L-823,,DOG ISLAND,Occupied,,Water column lease,AUZ,30_10,6.67,3,NO,29.143343630000000,-83.010971710000007,,
L-824,L-824,,DOG ISLAND,Occupied,,Bottom lease,AUZ,30_10,6.67,3,NO,29.142737329999999,-83.010799410000004,,
L-601,L-601,,GULF JACKSON,Occupied,,Bottom lease,AUZ,30_1,10.5,3,YES,29.181835929999998,-83.076149810000004,,
L-602,L-602,,GULF JACKSON,Occupied,,Bottom lease,AUZ,30_1,10.5,3,YES,29.181287149999999,-83.076109149999994,,
L-603,L-603,,GULF JACKSON,Occupied,,Bottom lease,AUZ,30_1,10.5,3,YES,29.180738359999999,-83.076068509999999,,
L-604,L-604,,GULF JACKSON,Occupied,,Bottom lease,AUZ,30_1,10.5,3,YES,29.180189570000000,-83.076027870000004,,
L-605,L-605,,GULF JACKSON,Occupied,,Bottom lease,AUZ,30_1,10.5,3,YES,29.179640769999999,-83.075987220000002,,
L-606,L-606,,GULF JACKSON,Occupied,,Bottom lease,AUZ,30_1,10.5,3,YES,29.179091990000000,-83.075946569999999,,
L-607,L-607,,GULF JACKSON,Occupied,,Bottom lease,AUZ,30_1,10.5,3,YES,29.178543579999999,-83.075906369999998,,
L-608,L-608,,GULF JACKSON,Occupied,,Bottom lease,AUZ,30_1,10.5,3,YES,29.177994410000000,-83.075865250000007,,
L-609,L-609,,GULF JACKSON,Occupied,,Bottom lease,AUZ,30_1,10.5,3,YES,29.177445609999999,-83.075824630000000,,
L-610,L-610,,GULF JACKSON,Occupied,,Bottom lease,AUZ,30_1,10.5,3,YES,29.176896820000000,-83.075783990000005,,
L-611,L-611,,GULF JACKSON,Occupied,,Bottom lease,AUZ,30_1,10.5,3,YES,29.176348030000000,-83.075743349999996,,
L-612,L-612,,GULF JACKSON,Occupied,,Bottom lease,AUZ,30_1,10.5,3,YES,29.175799240000000,-83.075702699999994,,
L-613,L-613,,GULF JACKSON,Occupied,,Bottom lease,AUZ,30_1,10.5,3,YES,29.175250470000002,-83.075662050000005,,
L-614,L-614,,GULF JACKSON,Occupied,,Bottom lease,AUZ,30_1,10.5,3,YES,29.174701670000001,-83.075621389999995,,
L-615,L-615,,GULF JACKSON,Occupied,,Bottom lease,AUZ,30_1,10.5,3,YES,29.174152880000001,-83.075580759999994,,
L-616,L-616,,GULF JACKSON,Occupied,,Bottom lease,AUZ,30_1,10.5,3,YES,29.173604099999999,-83.075540119999999,,
L-617,L-617,,GULF JACKSON,Occupied,,Bottom lease,AUZ,30_1,10.5,3,YES,29.173055300000001,-83.075499489999999,,
L-618,L-618,,GULF JACKSON,Occupied,,Bottom lease,AUZ,30_1,10.5,3,YES,29.172506519999999,-83.075458789999999,,
L-619,L-619,,GULF JACKSON,Occupied,,Bottom lease,AUZ,30_1,10.5,3,YES,29.171957720000002,-83.075418200000001,,
L-620,L-620,,GULF JACKSON,Occupied,,Bottom lease,AUZ,30_1,10.5,3,YES,29.171408929999998,-83.075377549999999,,
L-621,L-621,,GULF JACKSON,Occupied,,Bottom lease,AUZ,30_1,10.5,3,YES,29.170860130000001,-83.075336930000006,,
L-622,L-622,,GULF JACKSON,Occupied,,Bottom lease,AUZ,30_1,10.5,3,YES,29.170311510000001,-83.075294810000003,,
L-625,L-625,,GULF JACKSON,Occupied,,Bottom lease,AUZ,30_1,10.5,3,YES,29.168664969999998,-83.075174369999999,,
L-626,L-626,,GULF JACKSON,Occupied,,Bottom lease,AUZ,30_1,10.5,3,YES,29.168116179999998,-83.075133730000005,,
L-627,L-627,,GULF JACKSON,Occupied,,Bottom lease,AUZ,30_1,10.5,3,YES,29.167567399999999,-83.075093080000002,,
L-628,L-628,,GULF JACKSON,Occupied,,Bottom lease,AUZ,30_1,10.5,3,YES,29.167018599999999,-83.075052450000001,,
L-629,L-629,,GULF JACKSON,Occupied,,Bottom lease,AUZ,30_1,10.5,3,YES,29.166469820000000,-83.075011820000000,,
L-630,L-630,,GULF JACKSON,Occupied,,Bottom lease,AUZ,30_1,10.5,3,YES,29.165921030000000,-83.074971189999999,,
L-631,L-631,,GULF JACKSON,Occupied,,Bottom lease,AUZ,30_1,10.5,3,YES,29.165372229999999,-83.074930539999997,,
L-632,L-632,,GULF JACKSON,Occupied,,Bottom lease,AUZ,30_1,10.5,3,YES,29.164255720000000,-83.075035180000000,,
L-633,L-633,,GULF JACKSON,Occupied,,Bottom lease,AUZ,30_1,10.5,3,YES,29.163720130000002,-83.075177440000004,,
L-634,L-634,,GULF JACKSON,Occupied,,Bottom lease,AUZ,30_1,10.5,3,YES,29.163184540000000,-83.075319690000001,,
L-635,L-635,,GULF JACKSON,Occupied,,Bottom lease,AUZ,30_1,10.5,3,YES,29.162648959999999,-83.075461939999997,,
L-636,L-636,,GULF JACKSON,Occupied,,Bottom lease,AUZ,30_1,10.5,3,YES,29.162113370000000,-83.075604139999996,,
L-637,L-637,,GULF JACKSON,Occupied,,Bottom lease,AUZ,30_1,10.5,3,YES,29.161577770000001,-83.075746440000003,,
L-638,L-638,,GULF JACKSON,Occupied,,Bottom lease,AUZ,30_1,10.5,3,YES,29.161042190000000,-83.075888689999999,,
L-639,L-639,,GULF JACKSON,Occupied,,Bottom lease,AUZ,30_1,10.5,3,YES,29.160506649999999,-83.076030990000007,,
L-640,L-640,,GULF JACKSON,Occupied,,Bottom lease,AUZ,30_1,10.5,3,YES,29.159971020000000,-83.076173179999998,,
L-641,L-641,,GULF JACKSON,Occupied,,Bottom lease,AUZ,30_1,10.5,3,YES,29.159435429999998,-83.076315420000000,,
L-642,L-642,,GULF JACKSON,Occupied,,Bottom lease,AUZ,30_1,10.5,3,YES,29.158899829999999,-83.076457669999996,,
