lease_id,day,prob_1d_perc,prob_2d_perc,prob_3d_perc
1804186,2020-08-03,0,0,0
1800853,2020-08-03,0,0,0
1854256,2020-08-03,0,0,0
1809391,2020-08-03,0,0,0
1859941,2020-08-03,0,0,0
1535467,2020-08-03,0,0,0
1865278,2020-08-03,0,0,0
1871458,2020-08-03,0,0,0
1889468,2020-08-03,0,0,0
1797083,2020-08-03,0,0,0
1801158,2020-08-03,0,0,0
1871441,2020-08-03,0,0,0
1800861,2020-08-03,0,0,0
1885565,2020-08-03,0,0,0
1867951,2020-08-03,0,0,0
1860139,2020-08-03,0,0,0
1900182,2020-08-03,0,0,0
1858844,2020-08-03,0,0,0
1872787,2020-08-03,0,0,0
1863950,2020-08-03,0,0,0
1709328,2020-08-03,0,0,0
1849579,2020-08-03,0,0,0
1882265,2020-08-03,0,0,0
1895028,2020-08-03,0,0,0
1888890,2020-08-03,0,0,0
1888908,2020-08-03,0,0,0
1766302,2020-08-03,0,0,0
1894906,2020-08-03,0,0,0
1789601,2020-08-03,0,0,0
1795004,2020-08-03,0,0,0
1796036,2020-08-03,0,0,0
1834902,2020-08-03,0,0,0
1766245,2020-08-03,0,0,0
1750454,2020-08-03,0,0,0
1919877,2020-08-03,0,0,0
1909985,2020-08-03,0,0,0
1914373,2020-08-03,0,0,0
1914381,2020-08-03,0,0,0
1909993,2020-08-03,0,0,0
1909647,2020-08-03,0,0,0
1909787,2020-08-03,0,0,0
1909795,2020-08-03,0,0,0
1930619,2020-08-03,0,0,0
1930627,2020-08-03,0,0,0
1860071,2020-08-03,1,0,0
1860089,2020-08-03,1,0,0
1885466,2020-08-03,0,0,0
1885474,2020-08-03,0,0,0
1871466,2020-08-03,0,0,0
1907682,2020-08-03,1,0,0
1907708,2020-08-03,1,0,0
1908060,2020-08-03,0,0,0
1909969,2020-08-03,0,0,0
1909977,2020-08-03,0,0,0
1911221,2020-08-03,1,0,0
1911239,2020-08-03,1,0,0
UNCWRA,2020-08-03,0,0,0
1927474,2020-08-03,0,0,0
1917780,2020-08-03,0,0,0
1917798,2020-08-03,0,0,0
1944149,2020-08-03,1,0,0
1933001,2020-08-03,0,0,0
1933019,2020-08-03,0,0,0
1923788,2020-08-03,0,0,0
1909860,2020-08-03,0,0,0
1909878,2020-08-03,0,0,0
