lease_id,datetime_uct,prob_1d_perc,prob_2d_perc,prob_3d_perc,flag
1974856,9/15/20,0,0,0,testing
1976034,9/15/20,0,0,0,testing
1976125,9/15/20,0,0,0,testing
1978014,9/15/20,0,0,0,testing
1982941,9/15/20,0,0,0,testing
1987783,9/15/20,0,0,0,testing
1987841,9/15/20,0,0,0,testing
1987882,9/15/20,0,0,0,testing
1989359,9/15/20,0,0,0,testing
1989623,9/15/20,0,0,0,testing
1992148,9/15/20,0,0,0,testing
1993534,9/15/20,0,0,0,testing
1994417,9/15/20,0,0,0,testing
1994516,9/15/20,0,0,0,testing
1994821,9/15/20,0,0,0,testing
1994938,9/15/20,0,0,0,testing
1995067,9/15/20,0,0,0,testing
1996404,9/15/20,0,0,0,testing
1997238,9/15/20,0,0,0,testing
1948017,9/15/20,0,0,0,testing
1966852,9/15/20,0,0,0,testing
1951375,9/15/20,0,0,0,testing
1951383,9/15/20,0,0,0,testing
1966811,9/15/20,0,0,0,testing
1951326,9/15/20,0,0,0,testing
1934363,9/15/20,0,0,0,testing
1934371,9/15/20,0,0,0,testing
1966787,9/15/20,0,0,0,testing
1966795,9/15/20,0,0,0,testing
1982891,9/15/20,0,0,0,testing
1982909,9/15/20,0,0,0,testing
1947779,9/15/20,0,0,0,testing
1947787,9/15/20,0,0,0,testing
1946458,9/15/20,0,0,0,testing
1946466,9/15/20,0,0,0,testing
1974450,9/15/20,0,0,0,testing
1974641,9/15/20,0,0,0,testing
1974658,9/15/20,0,0,0,testing
1989581,9/15/20,0,0,0,testing
1989599,9/15/20,0,0,0,testing
20-001BL,9/15/20,0,0,0,testing
20-002WC,9/15/20,0,0,0,testing
20-003BL,9/15/20,0,0,0,testing
20-004WC,9/15/20,0,0,0,testing
20-005BL,9/15/20,0,0,0,testing
20-006WC,9/15/20,0,0,0,testing
20-007BL,9/15/20,0,0,0,testing
20-008WC,9/15/20,0,0,0,testing
20-009BL,9/15/20,0,0,0,testing
20-010BL,9/15/20,0,0,0,testing
20-011WC,9/15/20,0,0,0,testing
20-012BL,9/15/20,0,0,0,testing
20-013WC,9/15/20,0,0,0,testing
20-014BL,9/15/20,0,0,0,testing
20-015WC,9/15/20,0,0,0,testing
9513,9/15/20,0,0,0,testing
1994458,9/15/20,0,0,0,testing
1994466,9/15/20,0,0,0,testing
20-016WC,9/15/20,0,0,0,testing
20-017BL,9/15/20,0,0,0,testing
20-018WC,9/15/20,0,0,0,testing
776,9/15/20,0,0,0,testing
1-C-89,9/16/20,85,30,58,testing
194,9/16/20,69,36,82,testing
195,9/16/20,39,77,78,testing
447,9/16/20,39,77,78,testing
26-C-94,9/16/20,85,30,58,testing
9510,9/16/20,45,38,21,testing
8602,9/16/20,45,38,21,testing
9513-A,9/16/20,45,38,21,testing
443,9/16/20,45,38,21,testing
